元index,行番号,対象カラム,テキスト原文,正規化テキスト,検出通貨,為替適用,和単位セグメント,英単位セグメント,期待値_JPY,プロジェクトコスト_計画時_int_raw,プロジェクトコスト_計画時_int_num,比率_int/期待,判定,疑い理由,file,log10_int,robust_z_int,分布外れ値_flag(abs_z>3.5),プロジェクトコスト_実績_int_raw,プロジェクトコスト_実績_int_num
1596,1596,プロジェクトコスト_実績,"36,586百万円","36,586百万円",JPY,1.0,"[{'num': 36586.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 36586000000.0}]",[],36586000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_C02-P164_4_f.pdf,10.563314930041726,3.040326966431696,False,36586000000,36586000000.0
1597,1597,プロジェクトコスト_実績,"10,785百万円","10,785百万円",JPY,1.0,"[{'num': 10785.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 10785000000.0}]",[],10785000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_C02-P165_4_f.pdf,10.032820149438564,2.0872733135321453,False,10785000000,10785000000.0
1598,1598,プロジェクトコスト_実績,"69,209百万円","69,209百万円",JPY,1.0,"[{'num': 69209.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 69209000000.0}]",[],69209000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2016_C01-P154_4_f.pdf,10.840162574170398,3.5376940813983557,True,69209000000,69209000000.0
1599,1599,プロジェクトコスト_実績,"35,367百万円","35,367百万円",JPY,1.0,"[{'num': 35367.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 35367000000.0}]",[],35367000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_C02-P163_4_f.pdf,10.54859822241858,3.0138878524729367,False,35367000000,35367000000.0
1600,1600,プロジェクトコスト_実績,"8,222百万円","8,222百万円",JPY,1.0,"[{'num': 8222.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 8222000000.0}]",[],8222000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_C02-P169_4_f.pdf,9.914977472444331,1.8755645505371152,False,8222000000,8222000000.0
1601,1601,プロジェクトコスト_実績,"16,933百万円","16,933百万円",JPY,1.0,"[{'num': 16933.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 16933000000.0}]",[],16933000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_C02-P167_4_f.pdf,10.228733908376137,2.439239686125752,False,16933000000,16933000000.0
1602,1602,プロジェクトコスト_実績,"11,690百万円","11,690百万円",JPY,1.0,"[{'num': 11690.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 11690000000.0}]",[],11690000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_C01-P152_4_f.pdf,10.06781451116184,2.15014198913596,False,11690000000,11690000000.0
1603,1603,プロジェクトコスト_実績,"11,039百万円","11,039百万円",JPY,1.0,"[{'num': 11039.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 11039000000.0}]",[],11039000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_C01-P157_4_f.pdf,10.04292973334316,2.105435557953504,False,11039000000,11039000000.0
1604,1604,プロジェクトコスト_実績,"25,734百万円","25,734百万円",JPY,1.0,"[{'num': 25734.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 25734000000.0}]",[],25734000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_C01-P150_4_f.pdf,10.410507296622717,2.7658023555479856,False,25734000000,25734000000.0
1605,1605,プロジェクトコスト_実績,"10,665百万円","10,665百万円",JPY,1.0,"[{'num': 10665.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 10665000000.0}]",[],10665000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_C01-P153_4_f.pdf,10.027960859785448,2.0785434184912686,False,10665000000,10665000000.0
1606,1606,プロジェクトコスト_実績,87億84百万円,87億84百万円,JPY,1.0,"[{'num': 87.0, 'unit': '億', 'factor': 100000000.0, 'value': 8700000000.0}, {'num': 84.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 84000000.0}]",[],8784000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_C01-P160_4_f.pdf,9.943692327106017,1.927151857572793,False,8784000000,8784000000.0
1607,1607,プロジェクトコスト_実績,"126,374百万円","126,374百万円",JPY,1.0,"[{'num': 126374.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 126374000000.0}]",[],126374000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_C01-P162_4_f.pdf,11.101657732031697,4.007479882366838,True,126374000000,126374000000.0
1608,1608,プロジェクトコスト_実績,"7,347百万円","7,347百万円",JPY,1.0,"[{'num': 7347.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 7347000000.0}]",[],7347000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_C01-P156_4_f.pdf,9.866110039844376,1.7877723858446426,False,7347000000,7347000000.0
1609,1609,プロジェクトコスト_実績,"38,926百万円","38,926百万円",JPY,1.0,"[{'num': 38926.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 38926000000.0}]",[],38926000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_C01-P161_4_f.pdf,10.590239778308966,3.088698460239201,False,38926000000,38926000000.0
1610,1610,プロジェクトコスト_実績,"18,156百万円","18,156百万円",JPY,1.0,"[{'num': 18156.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 18156000000.0}]",[],18156000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_C01-P148_4_f.pdf,10.25902017407081,2.4936500916723947,False,18156000000,18156000000.0
1611,1611,プロジェクトコスト_実績,"7,123百万円","7,123百万円",JPY,1.0,"[{'num': 7123.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 7123000000.0}]",[],7123000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_C01-P158_4_f.pdf,9.85266294434457,1.7636141774030656,False,7123000000,7123000000.0
1612,1612,プロジェクトコスト_実績,"12,123百万円","12,123百万円",JPY,1.0,"[{'num': 12123.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 12123000000.0}]",[],12123000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_C01-P151_4_f.pdf,10.083610105162311,2.1785193626979593,False,12123000000,12123000000.0
1613,1613,プロジェクトコスト_実績,"12,714百万円","12,714百万円",JPY,1.0,"[{'num': 12714.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 12714000000.0}]",[],12714000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_C01-P155_4_f.pdf,10.104282207094439,2.215657564580221,False,12714000000,12714000000.0
1614,1614,プロジェクトコスト_実績,"7,381百万円","7,381百万円",JPY,1.0,"[{'num': 7381.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 7381000000.0}]",[],7381000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_C01-P159_4_f.pdf,9.868115205327218,1.7913747403973452,False,7381000000,7381000000.0
1615,1615,プロジェクトコスト_実績,"25,298百万円","25,298百万円",JPY,1.0,"[{'num': 25298.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 25298000000.0}]",[],25298000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2014_C01-P149_4_f.pdf,10.40308618823917,2.752470057640246,False,25298000000,25298000000.0
1616,1616,プロジェクトコスト_実績,"4,907百万円","4,907百万円",JPY,1.0,"[{'num': 4907.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 4907000000.0}]",[],4907000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_CXXII-P137_4_f.pdf,9.690816057980916,1.4728502115749373,False,4907000000,4907000000.0
1617,1617,プロジェクトコスト_実績,"89,299百万円","89,299百万円",JPY,1.0,"[{'num': 89299.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 89299000000.0}]",[],89299000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXII-P128_4_f.pdf,10.95084659554125,3.7365420526548596,True,89299000000,89299000000.0
1618,1618,プロジェクトコスト_実績,"9,225百万円","9,225百万円",JPY,1.0,"[{'num': 9225.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 9225000000.0}]",[],9225000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXII-P131_4_f.pdf,9.964966374831098,1.965371477515698,False,9225000000,9225000000.0
1619,1619,プロジェクトコスト_実績,"28,326百万円","28,326百万円",JPY,1.0,"[{'num': 28326.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 28326000000.0}]",[],28326000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXII-P130_4_f.pdf,10.452185250814898,2.8406783542205387,False,28326000000,28326000000.0
1620,1620,プロジェクトコスト_実績,"51,095百万円","51,095百万円",JPY,1.0,"[{'num': 51095.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 51095000000.0}]",[],51095000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2013_CXXII-P143_4_f.pdf,10.708378403487886,3.3009389051824773,False,51095000000,51095000000.0
1621,1621,プロジェクトコスト_実績,6327百万円,6327百万円,JPY,1.0,"[{'num': 6327.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 6327000000.0}]",[],6327000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_CXXII-P136_4_f.pdf,9.801197834459149,1.6711551886126224,False,6327000000,6327000000.0
1622,1622,プロジェクトコスト_実績,"20,221.02百万円","20,221.02百万円",JPY,1.0,"[{'num': 20221.02, 'unit': '百万円', 'factor': 1000000.0, 'value': 20221020000.0}]",[],20221020000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXXII-P140_4_f.pdf,10.30580305873267,2.577697288271518,False,20221020000,20221020000.0
1623,1623,プロジェクトコスト_実績,"24,388百万円","24,388百万円",JPY,1.0,"[{'num': 24388.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 24388000000.0}]",[],24388000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXXII-P147_4_f.pdf,10.387176186349883,2.72388714604028,False,24388000000,24388000000.0
1624,1624,プロジェクトコスト_実績,"20,504百万円","20,504百万円",JPY,1.0,"[{'num': 20504.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 20504000000.0}]",[],20504000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2010_CXXII-P144_4_f.pdf,10.311838593176187,2.588540350934746,False,20504000000,20504000000.0
1625,1625,プロジェクトコスト_実績,"1,637百万円","1,637百万円",JPY,1.0,"[{'num': 1637.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 1637000000.0}]",[],1637000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_CXXII-P90_4_f.pdf,9.214048679411942,0.616319839660859,False,1637000000,1637000000.0
1626,1626,プロジェクトコスト_実績,"6,142百万円","6,142百万円",JPY,1.0,"[{'num': 6142.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 6142000000.0}]",[],6142000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2012_CXXII-P90_4_f.pdf,9.78830981210705,1.648001375925995,False,6142000000,6142000000.0
1627,1627,プロジェクトコスト_実績,"5,857百万円","5,857百万円",JPY,1.0,"[{'num': 5857.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 5857000000.0}]",[],5857000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXXII-P114_4_f.pdf,9.76767522402796,1.6109305690794222,False,5857000000,5857000000.0
1628,1628,プロジェクトコスト_実績,"15,766百万円","15,766百万円",JPY,1.0,"[{'num': 15766.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 15766000000.0}]",[],15766000000.0,,,1.0,OK,,https://www2.jica.go.jp/ja/evaluation/pdf/2011_CXXII-P114_4_f.pdf,10.197721522226866,2.383524778108958,False,15766000000,15766000000.0
