元index,行番号,対象カラム,テキスト原文,正規化テキスト,検出通貨,為替適用,和単位セグメント,英単位セグメント,期待値_JPY,プロジェクトコスト_計画時_int_raw,プロジェクトコスト_計画時_int_num,比率_int/期待,判定,疑い理由,file,log10_int,robust_z_int,分布外れ値_flag(abs_z>3.5),プロジェクトコスト_実績_int_raw,プロジェクトコスト_実績_int_num
1302,1302,プロジェクトコスト_計画時,"306,809百万円","306,809百万円",JPY,1.0,"[{'num': 306809.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 306809000000.0}]",[],306809000000.0,30680900000,30680900000.0,0.1,SUSPECT_X0.1,比率= 0.100 → SUSPECT_X0.1,https://www2.jica.go.jp/ja/evaluation/pdf/2019_ID-P171_4_f.pdf,10.48686809514985,2.6535574184953865,False,,
440,440,プロジェクトコスト_計画時,"6,197百万円（うち円借款4,874百万円）","6,197百万円(うち円借款4,874百万円)",JPY,1.0,"[{'num': 6197.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 6197000000.0}, {'num': 4874.0, 'unit': '百万円', 'factor': 1000000.0, 'value': 4874000000.0}]",[],11071000000.0,6197000000,6197000000.0,0.5597507000270978,MISMATCH,比率= 0.560 → MISMATCH,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1500341_4_f.pdf,9.792181496149679,1.4956475023565456,False,,
27,27,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603846_4_f.pdf,,,False,,
28,28,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603846_4_f.pdf,,,False,,
44,44,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602358_4_f.pdf,,,False,,
67,67,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1001020_4_f.pdf,,,False,,
94,94,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0903938_4_f.pdf,,,False,,
99,99,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0613287_4_f.pdf,,,False,,
111,111,プロジェクトコスト_計画時,情報なし,情報なし,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0700868_4_f.pdf,,,False,,
123,123,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0600341_4_f.pdf,,,False,,
126,126,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0600245_4_f.pdf,,,False,,
159,159,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0800164_4_f.pdf,,,False,,
169,169,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601331_4_f.pdf,,,False,,
170,170,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0601305_4_f.pdf,,,False,,
177,177,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601342_4_f.pdf,,,False,,
180,180,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601311_4_f.pdf,,,False,,
188,188,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0801101_4_f.pdf,,,False,,
190,190,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0605711_4_f.pdf,,,False,,
194,194,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0605709_4_f.pdf,,,False,,
217,217,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0602652_4_f.pdf,,,False,,
254,254,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0601112_4_f.pdf,,,False,,
275,275,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0602105_4_f.pdf,,,False,,
278,278,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0602074_4_f.pdf,,,False,,
281,281,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602071_4_f.pdf,,,False,,
284,284,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0601968_4_f.pdf,,,False,,
285,285,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602067_4_f.pdf,,,False,,
286,286,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602023_4_f.pdf,,,False,,
288,288,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0601991_4_f.pdf,,,False,,
289,289,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0601990_4_f.pdf,,,False,,
292,292,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0601966_4_f.pdf,,,False,,
293,293,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0601977_4_f.pdf,,,False,,
320,320,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602442_4_f.pdf,,,False,,
335,335,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0602529_4_f.pdf,,,False,,
374,374,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601593_4_f.pdf,,,False,,
416,416,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0600894_4_f.pdf,,,False,,
499,499,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0701971_4_f.pdf,,,False,,
500,500,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0701972_4_f.pdf,,,False,,
514,514,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0601770_4_f.pdf,,,False,,
515,515,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0601704_4_f.pdf,,,False,,
516,516,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601734_4_f.pdf,,,False,,
522,522,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0601761_4_f.pdf,,,False,,
530,530,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0601728_4_f.pdf,,,False,,
532,532,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0601683_4_f.pdf,,,False,,
540,540,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0600561_4_f.pdf,,,False,,
551,551,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601831_4_f.pdf,,,False,,
557,557,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0601858_4_f.pdf,,,False,,
579,579,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0609548_4_f.pdf,,,False,,
581,581,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0602168_4_f.pdf,,,False,,
584,584,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0602145_4_f.pdf,,,False,,
611,611,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0608988_4_f.pdf,,,False,,
622,622,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0601505_4_f.pdf,,,False,,
623,623,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0601506_4_f.pdf,,,False,,
625,625,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0601503_4_f.pdf,,,False,,
631,631,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0601468_4_f.pdf,,,False,,
657,657,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0602786_4_f.pdf,,,False,,
673,673,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0603318_4_f.pdf,,,False,,
674,674,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0603305_4_f.pdf,,,False,,
699,699,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0603071_4_f.pdf,,,False,,
700,700,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0603059_4_f.pdf,,,False,,
705,705,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0602933_4_f.pdf,,,False,,
715,715,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0602991_4_f.pdf,,,False,,
726,726,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0603208_4_f.pdf,,,False,,
734,734,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0603267_4_f.pdf,,,False,,
759,759,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0603456_4_f.pdf,,,False,,
760,760,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0603450_4_f.pdf,,,False,,
782,782,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0603356_4_f.pdf,,,False,,
803,803,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0603176_4_f.pdf,,,False,,
805,805,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0603174_4_f.pdf,,,False,,
864,864,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0604672_4_f.pdf,,,False,,
865,865,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0604633_4_f.pdf,,,False,,
868,868,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0604653_4_f.pdf,,,False,,
869,869,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604654_4_f.pdf,,,False,,
870,870,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604642_4_f.pdf,,,False,,
902,902,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0701790_4_f.pdf,,,False,,
908,908,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604718_4_f.pdf,,,False,,
914,914,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2015_0604715_4_f.pdf,,,False,,
925,925,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1103300_4_f.pdf,,,False,,
947,947,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0605093_4_f.pdf,,,False,,
948,948,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2014_0605093_4_f.pdf,,,False,,
953,953,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0605497_4_f.pdf,,,False,,
992,992,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0605480_4_f.pdf,,,False,,
993,993,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0605456_4_f.pdf,,,False,,
994,994,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2010_0605456_4_f.pdf,,,False,,
1078,1078,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0605329_4_f.pdf,,,False,,
1080,1080,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0605312_4_f.pdf,,,False,,
1098,1098,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0604837_4_f.pdf,,,False,,
1161,1161,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2013_0603928_4_f.pdf,,,False,,
1198,1198,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0604022_4_f.pdf,,,False,,
1199,1199,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604023_4_f.pdf,,,False,,
1216,1216,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2011_0604075_4_f.pdf,,,False,,
1238,1238,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2012_0604279_4_f.pdf,,,False,,
1355,1355,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2022_899_4_s.pdf,,,False,,
1427,1427,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0881_4_f.pdf,,,False,,
1667,1667,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1817_4_f.pdf,,,False,,
1679,1679,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2022_884_4_s.pdf,,,False,,
1680,1680,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2021_0888_4_f.pdf,,,False,,
1766,1766,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2023_0915_4_f.pdf,,,False,,
1767,1767,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2023_0905_4_f.pdf,,,False,,
1768,1768,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2020_0892_4_f.pdf,,,False,,
1968,1968,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0883_4_f.pdf,,,False,,
1976,1976,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2023_MON-P8_4_f.pdf,,,False,,
2020,2020,プロジェクトコスト_計画時,,nan,UNKNOWN,,[],[],,,,,UNDECIDABLE,通貨不明→要確認 / 数値/単位の解析失敗→要確認 / 比率判定不可,https://www2.jica.go.jp/ja/evaluation/pdf/2023_0893_4_f.pdf,,,False,,
