No,file,プロジェクト期,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時,プロジェクトコスト_実績,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,効率性_コスト,効率性_期間,事業形態,分野,案件名
71,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0701837_4_f.pdf,1,インドネシア,2016,株式会社アイコンズ,伊藤治夫,500百万円,634百万円,2002年8月,2007年7月,2002年8月,2007年7月,60,60,127%,100%,技協,行政一般,市民警察活動促進プロジェクトフェーズ2
72,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0701837_4_f.pdf,2,インドネシア,2016,株式会社アイコンズ,伊藤治夫,780百万円,575百万円,2007年8月,2012年7月,2007年8月,2012年7月,60,60,74%,100%,技協,行政一般,市民警察活動促進プロジェクトフェーズ2
73,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0701031_4_f.pdf,1,エジプト,2016,エジプト事務所,,380百万円,390百万円,2008年11月,2012年12月,2008年11月,2012年12月,50,50,102%,100%,技協,基礎保健,上エジプト学校保健サービス促進プロジェクト
74,https://www2.jica.go.jp/ja/evaluation/pdf/2016_0960120_4_f.pdf,1,ニジェール,2016,ニジェール支所,,730百万円,648百万円,2009年6月11日,2012年1月,2009年6月11日,2011年7月8日,31,25,89%,81%,無償,水資源開発,ティラベリ州ギニアウォーム撲滅対策飲料水供給計画
75,https://www2.jica.go.jp/ja/evaluation/pdf/2016_1060390_4_f.pdf,1,ウズベキスタン,2016,ウズベキスタン事務所,,467百万円,329百万円,2010年3月1日,,2010年3月1日,2012年10月22日,,32,75%,89%,無償,運輸交通一般、保健・医療,国境税関大型貨物用検査機材整備計画（第一次）（第二次）
76,https://www2.jica.go.jp/ja/evaluation/pdf/2016_1060390_4_f.pdf,2,ウズベキスタン,2016,ウズベキスタン事務所,,360百万円,293百万円,2010年9月16日,,2010年9月16日,2012年10月22日,,25,75%,89%,無償,運輸交通一般、保健・医療,国境税関大型貨物用検査機材整備計画（第一次）（第二次）
77,https://www2.jica.go.jp/ja/evaluation/pdf/2016_1160230_4_f.pdf,1,タジキスタン,2016,株式会社日本経済研究所,西川圭輔,1004百万円,424百万円,2008年8月,,2008年8月,2011年3月,31,32,119%,216%,無償,上水道、水資源開発,第二次ハトロン州ハマドニ地区給水改善計画
78,https://www2.jica.go.jp/ja/evaluation/pdf/2016_1160230_4_f.pdf,2,タジキスタン,2016,株式会社日本経済研究所,西川圭輔,779百万円,779百万円,2011年6月,,2011年6月,2013年6月,,25,119%,216%,無償,上水道、水資源開発,第二次ハトロン州ハマドニ地区給水改善計画
79,https://www2.jica.go.jp/ja/evaluation/pdf/2016_SL-P96_4_f.pdf,1,スリランカ,2016,OPMAC 株式会社,宮崎慶司,"7,748百万円","8,636.3百万円",2003年3月,2008年9月,2003年3月,2010年4月,67,86,138%,139%,有償,道路,地方道路開発事業（中央州、サバラガムワ州）
80,https://www2.jica.go.jp/ja/evaluation/pdf/2016_SL-P96_4_f.pdf,2,スリランカ,2016,OPMAC 株式会社,宮崎慶司,"11,171百万円","10,409.6百万円",2010年3月,2014年1月,2010年3月,2015年12月,47,70,138%,139%,有償,道路,地方道路開発事業（中央州、サバラガムワ州）
81,https://www2.jica.go.jp/ja/evaluation/pdf/2016_C04-P206_4_f.pdf,1,中華人民共和国,2016,アイ・シー・ネット株式会社,百田顕児,"13,962百万円","15,351百万円",2005年3月,2013年12月,2005年3月,2014年8月,106,114,110%,108%,有償,ガス・石油,包頭市大気環境改善事業
82,https://www2.jica.go.jp/ja/evaluation/pdf/2017_0800391_4_f.pdf,1,パキスタン,2017,パキスタン事務所,,320百万円,306百万円,2009年7月,2012年7月,2009年7月,2012年7月,36,36,96%,100%,技協,保健・医療,根拠に基づく意思決定及び管理のための県保健情報システムプロジェクト
83,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1103274_4_f.pdf,1,フィリピン,2017,フィリピン事務所,,199百万円,248百万円,2012年2月,2015年3月,2012年2月,2015年3月,38,38,125%,100%,技協,商業経営,全国産業クラスター能力向上プロジェクト
84,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1200030_4_f.pdf,1,バングラデシュ,2017,バングラデシュ事務所,,250百万円,279百万円,2012年11月,2014年2月,2012年11月,2014年2月,16,16,112%,106%,技協,社会基盤一般,中核都市包括的開発機能強化プロジェクト
85,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1260290_4_f.pdf,1,モザンビーク,2017,インテムコンサルティング株式会社,西山雄大,"1,063百万円","1,060百万円",2012年8月,2014年8月,2012年8月,2015年5月,24,34,100%,142%,無償,人的資源一般,ナンプラ州中学校改善計画
86,https://www2.jica.go.jp/ja/evaluation/pdf/2017_1160330_4_f.pdf,1,インドネシア,2017,オクタヴィアジャパン株式会社,伊藤解子,"2,229百万円",,2011年7月,2014年4月,2011年7月,2014年11月,34,41,92%,121%,無償,公益事業一般,プルイット排水機場緊急改修計画
87,https://www2.jica.go.jp/ja/evaluation/pdf/2017_PK-C21_4_f.pdf,1,パキスタン,2017,学校法人早稲田大学,稲田十一,"5,000百万円","5,000百万円",2014年6月,2016年2月,2014年6月,2016年2月,,,,,有償,開発計画一般、エネルギー一般、電力,電力セクター改革プログラム（I）
88,https://www2.jica.go.jp/ja/evaluation/pdf/2017_PK-C21_4_f.pdf,2,パキスタン,2017,学校法人早稲田大学,稲田十一,"5,000百万円","5,000百万円",2016年2月,2016年2月,2016年2月,2016年2月,,,,,有償,開発計画一般、エネルギー一般、電力,電力セクター改革プログラム（I）
89,https://www2.jica.go.jp/ja/evaluation/pdf/2017_C05-P212_4_f.pdf,1,中華人民共和国,2017,株式会社国際開発センター,西野俊浩/野本綾子,"9,250百万円","10,605百万円",2006年6月,2011年3月,2006年6月,2015年12月,58,115,114%,198%,有償,高等教育,遼寧省人材育成事業
90,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1200415_4_f.pdf,1,エジプト,2018,エジプト事務所,,250百万円,216百万円,2012年11月,2016年3月,2012年11月,2016年3月,41,41,86%,100%,技協,農業土木,水管理移管強化プロジェクト
91,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1002292_4_f.pdf,1,中華人民共和国,2018,中国事務所,,270百万円,309百万円,2013年3月,2016年3月,2013年3月,2016年3月,36,36,114%,100%,技協,環境問題,大気中の窒素酸化物総量抑制プロジェクト
92,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1000097_4_f.pdf,1,マラウイ,2018,マラウイ事務所,,440百万円,378百万円,2011年7月,2015年6月,2011年7月,2015年7月,48,49,86%,102%,技協,水資源開発,地方給水運営維持管理プロジェクト
93,https://www2.jica.go.jp/ja/evaluation/pdf/2018_0602036_4_f.pdf,1,中華人民共和国,2018,中国事務所,,387百万円,290百万円,2006年4月,2009年3月,2006年4月,2009年3月,36,36,75%,100%,技協,保健・医療,中西部地域リプロダクティブヘルス・家庭保健サービス提供能力強化プロジェクト
94,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1360570_4_f.pdf,1,マラウイ,2018,株式会社かいはつマネジメント・コンサルティング,白井和子,854百万円,743百万円,2007年7月,2008年12月,2007年7月,2009年9月,18,27,104%,150%,無償,道路,ブランタイヤ市道路網整備計画（三次）
95,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1360570_4_f.pdf,2,マラウイ,2018,株式会社かいはつマネジメント・コンサルティング,白井和子,465百万円,649百万円,2010年6月,2011年11月,2010年6月,2013年7月,18,37,104%,150%,無償,道路,ブランタイヤ市道路網整備計画（三次）
96,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1360570_4_f.pdf,3,マラウイ,2018,株式会社かいはつマネジメント・コンサルティング,白井和子,684百万円,684百万円,2013年12月,2015年3月,2013年12月,2015年10月,16,14,104%,150%,無償,道路,ブランタイヤ市道路網整備計画（三次）
97,https://www2.jica.go.jp/ja/evaluation/pdf/2018_1161560_4_f.pdf,1,セネガル,2018,株式会社アイコンズ,伊藤治夫,"1,164百万円","1,164百万円",2012年6月,2015年3月,2012年6月,2015年9月,34,40,100%,118%,無償,教育、基礎教育,ルーガ州及びカオラック州中学校建設計画
98,https://www2.jica.go.jp/ja/evaluation/pdf/2018_VNXIV-2_4_f.pdf,1,ベトナム,2018,OPMAC 株式会社,三島光恵,636百万円,268百万円,1998年3月,1999年12月,1998年3月,2001年5月,22,39,42%,177%,有償,電力,オモン火力発電所メコンデルタ送変電網建設事業（4）
99,https://www2.jica.go.jp/ja/evaluation/pdf/2018_VNXIV-2_4_f.pdf,2,ベトナム,2018,OPMAC 株式会社,三島光恵,63965百万円,61735百万円,2001年3月,2006年4月,2001年3月,2016年7月,61,185,96%,303%,有償,電力,オモン火力発電所メコンデルタ送変電網建設事業（4）
100,https://www2.jica.go.jp/ja/evaluation/pdf/2018_VNXIV-2_4_f.pdf,3,ベトナム,2018,OPMAC 株式会社,三島光恵,33640百万円,43795百万円,2004年3月,2009年7月,2004年3月,2015年10月,65,140,127%,215%,有償,電力,オモン火力発電所メコンデルタ送変電網建設事業（4）
101,https://www2.jica.go.jp/ja/evaluation/pdf/2018_IP-550_4_f.pdf,2,インドネシア,2018,オクタヴィアジャパン株式会社,稲澤健一,"8,004百万円","7,229百万円",2008年2月,2014年5月,2008年3月,2019年1月,76,131,90%,172%,有償,下水道,デンパサール下水道整備事業（2）
102,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1300530_4_f.pdf,1,モンゴル,2019,モンゴル事務所,,282百万円,221百万円,2014年5月,2016年4月,2014年5月,2016年4月,24,24,78%,100%,技協,財政・金融,モンゴルPPP能力強化プロジェクト
103,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0900382_4_f.pdf,1,カンボジア,2019,カンボジア事務所,,380百万円,262百万円,2010年6月,2015年6月,2010年6月,2015年6月,60,60,69%,100%,技協,保健・医療,医療技術者育成システム強化プロジェクト
104,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1100218_4_f.pdf,2,ベトナム,2019,ベトナム事務所,,300百万円,398百万円,2013年7月,2015年12月,2013年7月,2016年3月,30,33,133%,110%,技協,エネルギー一般,省エネルギー研修センター設立支援プロジェクト（ステージ2）【有償勘定技術支援】
105,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1200094_4_f.pdf,1,タジキスタン,2019,タジキスタン事務所,,246百万円,319百万円,2013年10月,2016年5月,2013年10月,2016年11月,32,38,130%,119%,技協,道路,道路維持管理改善プロジェクト
106,https://www2.jica.go.jp/ja/evaluation/pdf/2019_0900434_4_f.pdf,1,ベトナム,2019,ベトナム事務所,,550百万円,418百万円,2010年7月,2015年7月,2010年7月,2015年7月,60,60,76%,100%,技協,保健・医療,保健医療従事者の質の改善プロジェクト
107,https://www2.jica.go.jp/ja/evaluation/pdf/2019_1360040_4_f.pdf,1,ザンビア,2019,EY 新日本有限責任監査法人,高木秀行,"2,019百万円","1,996百万円",2013年7月17日,2015年5月16日,2013年7月17日,2016年7月26日,22,37,100%,168%,無償,保健・医療,ルサカ郡病院整備計画
