No,file,プロジェクト期,国名,評価年度,評価会社,評価者,プロジェクトコスト_計画時,プロジェクトコスト_実績,プロジェクト期間開始_計画時,プロジェクト期間終了_計画時,プロジェクト期間開始_実績,プロジェクト期間終了_実績,事前評価時_プロジェクト期間（月）,実績_プロジェクト期間（月）,効率性_コスト,効率性_期間,事業形態,分野,案件名
133,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1100603_4_f.pdf,1,モザンビーク,2021,モザンビーク事務所,,350百万円,541百万円,2013年1月,2016年12月,2013年3月,2017年5月,48,51,155%,110%,技協,環境問題,マプト市における持続可能な3R活動推進プロジェクト
134,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1300583_4_f.pdf,1,スリランカ,2021,スリランカ事務所,,509百万円,363百万円,2014年7月,2017年6月,2014年7月,2018年9月,36,51,71%,142%,技協,河川・砂防,土砂災害対策強化プロジェクト
135,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1100612_4_f.pdf,1,モザンビーク,2021,モザンビーク事務所,,393百万円,327百万円,2011年1月,2016年1月,2011年1月,2015年12月,61,60,83%,98%,技協,保健・医療,保健人材養成機関教員能力強化プロジェクト
136,https://www2.jica.go.jp/ja/evaluation/pdf/2021_0801500_4_f.pdf,1,マリ,2021,株式会社タック・インターナショナル,芹澤明美、西野宏、石本樹里,942百万円,914百万円,2008年1月,2009年11月,2008年1月,2010年1月,23,25,97%,109%,無償,運輸交通一般,マリ-セネガル南回廊道路橋梁建設計画
137,https://www2.jica.go.jp/ja/evaluation/pdf/2021_0801500_4_f.pdf,2,マリ,2021,株式会社タック・インターナショナル,芹澤明美、西野宏、石本樹里,"1,342百万円","1,321百万円",2009年1月,2011年5月,2009年1月,2011年7月,29,31,86%,107%,無償,運輸交通一般,マリ-セネガル南回廊道路橋梁建設計画
138,https://www2.jica.go.jp/ja/evaluation/pdf/2021_0801500_4_f.pdf,3,マリ,2021,株式会社タック・インターナショナル,芹澤明美、西野宏、石本樹里,"1,531百万円","1,390百万円",2009年7月,2011年12月,2009年7月,2011年11月,30,29,91%,97%,無償,運輸交通一般,マリ-セネガル南回廊道路橋梁建設計画
139,https://www2.jica.go.jp/ja/evaluation/pdf/2021_1460290_4_f.pdf,1,タンザニア,2021,一般財団法人国際開発機構,日野類子,6525百万円,,2013年6月,2018年4月,2013年6月,2018年10月,59,65,100%,110%,無償,道路,第二次タザラ交差点改善計画
140,https://www2.jica.go.jp/ja/evaluation/pdf/2021_ID-P193_4_f.pdf,1,インド,2021,アイ・シー・ネット株式会社,大西由美子,"54,165百万円","40,851百万円",2008年3月,2013年2月,2008年3月,2017年3月,60,109,75%,182%,有償,道路,ハイデラバード外環道路建設事業フェーズ1
141,https://www2.jica.go.jp/ja/evaluation/pdf/2021_ID-P193_4_f.pdf,2,インド,2021,アイ・シー・ネット株式会社,大西由美子,"54,046百万円","39,590百万円",2008年11月,2013年8月,2008年11月,2019年3月,58,125,73%,215%,有償,道路,ハイデラバード外環道路建設事業フェーズ1
142,https://www2.jica.go.jp/ja/evaluation/pdf/2021_ID-P193_4_f.pdf,3,インド,2021,アイ・シー・ネット株式会社,大西由美子,190百万円,254百万円,2010年1月,2011年6月,2010年1月,2013年10月,18,46,134%,256%,有償,道路,ハイデラバード外環道路建設事業フェーズ1
143,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1500521_4_f.pdf,1,モーリタニア,2022,セネガル事務所,,310百万円,313百万円,2016年10月,2018年3月,2016年11月,2018年9月,18,22,101%,122%,技協,開発計画一般,ヌアクショット市都市開発マスタープラン策定プロジェクト
144,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1203137_4_f.pdf,1,ケニア,2022,一般財団法人 国際開発機構,濱田真由美,"1,876百万円","1,954百万円",2013年9月,2017年8月,2013年9月,2020年3月,48,79,104%,164%,技協,新・再生エネルギー,地熱開発のための能力向上プロジェクト
145,https://www2.jica.go.jp/ja/evaluation/pdf/2022_201400306_4_f.pdf,1,セネガル,2022,セネガル事務所,,70百万円,179百万円,2015年1月,2019年3月,2014年11月,2019年3月,51,53,256%,100%,技協,保健・医療,保健人材広域ネットワーク強化プロジェクト
146,https://www2.jica.go.jp/ja/evaluation/pdf/2022_1660860_4_f.pdf,1,タジキスタン,2022,株式会社クニエ,西川圭輔,"2,207百万円","2,227百万円",2017年6月,2019年5月,2017年6月,2019年12月,24,30,101%,124%,無償,電力,ドゥシャンベ変電所整備計画
147,https://www2.jica.go.jp/ja/evaluation/pdf/2022_VUT-P1_4_f.pdf,1,バヌアツ,2022,株式会社クニエ,西川圭輔/栗村俊也,"10,500百万円","9,200百万円",2012年6月,2018年7月,2012年6月,2019年2月,74,81,87%,109%,有償,港湾,ポートビラ港ラペタシ国際多目的埠頭整備事業
148,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1200074_4_f.pdf,1,シエラレオネ,2023,シエラレオネ事務所,,410百万円,794百万円,2013年4月,2017年3月,2013年6月,2019年5月,48,72,194%,117%,技協,保健・医療,サポーティブスーパービジョンシステム強化プロジェクト
149,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1302038_4_f.pdf,1,タイ,2023,タイ事務所,,392百万円,253百万円,2009年3月,2014年3月,2009年3月,2014年3月,60,60,65%,100%,技協,その他,メコン地域人身取引被害者支援能力向上プロジェクト
150,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1302038_4_f.pdf,2,タイ,2023,タイ事務所,,273百万円,291百万円,2015年1月,2019年1月,2015年4月,2019年4月,48,48,107%,100%,技協,その他,メコン地域人身取引被害者支援能力向上プロジェクト
151,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1400425_4_f.pdf,1,エチオピア,2023,一般財団法人国際開発機構,日野類子,576百万円,682百万円,2011年11月,2014年11月,2011年11月,2014年11月,36,36,118%,100%,技協,工業一般,品質・生産性向上、競争力強化のためのカイゼン実施促進能力向上プロジェクト
152,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1400425_4_f.pdf,2,エチオピア,2023,一般財団法人国際開発機構,日野類子,670百万円,797百万円,2015年6月,2020年5月,2015年6月,2020年6月,60,60,118%,100%,技協,工業一般,品質・生産性向上、競争力強化のためのカイゼン実施促進能力向上プロジェクト
153,https://www2.jica.go.jp/ja/evaluation/pdf/2023_1660610_4_f.pdf,1,ブータン,2023,ブータン事務所,,551百万円,537百万円,2017年3月,2018年8月,2017年3月,2018年10月,18,20,97%,111%,無償,保健・医療,国立病院及び地域中核病院における医療機材整備計画
154,https://www2.jica.go.jp/ja/evaluation/pdf/2023_VNXIII-7_4_f.pdf,1,ベトナム,2023,三菱UFJリサーチ&コンサルティング株式会社,島村真澄,437百万円,345百万円,2001年3月,2003年2月,2001年3月,2005年7月,24,53,79%,221%,有償,農業土木,ファンリー・ファンティエット灌漑事業
155,https://www2.jica.go.jp/ja/evaluation/pdf/2023_VNXIII-7_4_f.pdf,2,ベトナム,2023,三菱UFJリサーチ&コンサルティング株式会社,島村真澄,"6,197百万円","5,703百万円",2006年3月,2013年11月,2006年3月,2015年11月,93,117,92%,126%,有償,農業土木,ファンリー・ファンティエット灌漑事業
156,https://www2.jica.go.jp/ja/evaluation/pdf/2023_VNXIII-7_4_f.pdf,3,ベトナム,2023,三菱UFJリサーチ&コンサルティング株式会社,島村真澄,250百万円,320百万円,2016年3月,2019年3月,2016年3月,2019年12月,37,46,128%,124%,有償,農業土木,ファンリー・ファンティエット灌漑事業
157,https://www2.jica.go.jp/ja/evaluation/pdf/2023_IP-564_4_f.pdf,1,インドネシア,2023,(株)国際開発センター,野本綾子,"31,557百万円","33,151百万円",2007年1月,2011年6月,2007年3月,2014年6月,54,88,105%,163%,有償,総合地域開発計画,貧困削減地方インフラ開発事業（II）
158,https://www2.jica.go.jp/ja/evaluation/pdf/2023_IP-564_4_f.pdf,2,インドネシア,2023,(株)国際開発センター,野本綾子,"13,936百万円","13,933百万円",2014年2月,2015年12月,2014年2月,2015年12月,23,23,100%,100%,有償,総合地域開発計画,貧困削減地方インフラ開発事業（II）
