,alpha3,Year,gdp_growth,join_flg
265,ZWE,1960,,True
266,ABW,1961,,True
267,AFE,1961,-2.136630492,True
268,AFG,1961,,True
269,AFW,1961,-0.247795843,True
270,AGO,1961,,True
271,ALB,1961,,True
272,AND,1961,,True
273,ARB,1961,,True
274,ARE,1961,,True
275,ARG,1961,3.697198142,True
276,ARM,1961,,True
277,ASM,1961,,True
278,ATG,1961,,True
279,AUS,1961,0.46335133,True
280,AUT,1961,4.960717183,True
281,AZE,1961,,True
282,BDI,1961,-15.90196524,True
283,BEL,1961,4.630257134,True
284,BEN,1961,1.451144084,True
285,BFA,1961,2.550232653,True
286,BGD,1961,3.110419719,True
287,BGR,1961,,True
288,BHR,1961,,True
289,BHS,1961,5.34190503,True
290,BIH,1961,,True
291,BLR,1961,,True
292,BLZ,1961,2.299993079,True
293,BMU,1961,2.458860437,True
294,BOL,1961,0.024994746,True
295,BRA,1961,5.372339416,True
296,BRB,1961,6.654892409,True
297,BRN,1961,,True
298,BTN,1961,,True
299,BWA,1961,3.971044226,True
300,CAF,1961,3.003183764,True
301,CAN,1961,1.121346226,True
302,CEB,1961,,True
303,CHE,1961,5.990640687,True
304,CHI,1961,,True
305,CHL,1961,3.07771134,True
306,CHN,1961,-26.52764361,True
307,CIV,1961,5.994615481,True
308,CMR,1961,-0.365494073,True
309,COD,1961,-13.11406462,True
310,COG,1961,5.587275556,True
311,COL,1961,1.896464674,True
312,COM,1961,,True
313,CPV,1961,,True
314,CRI,1961,-1.848922934,True
315,CSS,1961,5.07449106,True
316,CUB,1961,,True
317,CUW,1961,,True
318,CYM,1961,,True
319,CYP,1961,,True
320,CZE,1961,,True
321,DEU,1961,3.498576338,True
322,DJI,1961,,True
323,DMA,1961,,True
324,DNK,1961,5.638743553,True
325,DOM,1961,-5.351001299,True
326,DZA,1961,-15.1207305,True
327,EAP,1961,-13.28696373,True
328,EAR,1961,2.125966092,True
329,EAS,1961,3.647245354,True
330,ECA,1961,,True
331,ECS,1961,3.98582946,True
332,ECU,1961,2.198412214,True
333,EGY,1961,2.477234551,True
334,EMU,1961,4.814250828,True
335,ERI,1961,,True
336,ESP,1961,10.80448686,True
337,EST,1961,,True
338,ETH,1961,,True
339,EUU,1961,4.85449011,True
340,FCS,1961,-2.289501808,True
341,FIN,1961,6.847965181,True
342,FJI,1961,0.412843179,True
343,FRA,1961,3.725257211,True
344,FRO,1961,,True
345,FSM,1961,,True
346,GAB,1961,13.44925199,True
347,GBR,1961,1.923273869,True
348,GEO,1961,3.223694086,True
349,GHA,1961,0.520685688,True
350,GIB,1961,,True
351,GIN,1961,,True
352,GMB,1961,,True
353,GNB,1961,,True
354,GNQ,1961,,True
355,GRC,1961,12.30979494,True
356,GRD,1961,,True
357,GRL,1961,,True
358,GTM,1961,1.245304652,True
359,GUM,1961,,True
360,GUY,1961,2.277004462,True
361,HIC,1961,3.195810824,True
362,HKG,1961,,True
363,HND,1961,-0.986082277,True
364,HPC,1961,-2.517607756,True
365,HRV,1961,,True
366,HTI,1961,-4.675856084,True
367,HUN,1961,4.226531876,True
368,IBD,1961,0.023689379,True
369,IBT,1961,-0.206049353,True
370,IDA,1961,-1.288839272,True
371,IDB,1961,-1.123153367,True
372,IDN,1961,2.834618625,True
373,IDX,1961,,True
374,IMN,1961,,True
375,IND,1961,1.266648794,True
376,INX,1961,,True
377,IRL,1961,5.172332516,True
378,IRN,1961,7.1214986,True
379,IRQ,1961,4.752459853,True
380,ISL,1961,-2.002607273,True
381,ISR,1961,7.591418236,True
382,ITA,1961,7.486418839,True
383,JAM,1961,,True
384,JOR,1961,,True
385,JPN,1961,11.04407304,True
386,KAZ,1961,,True
387,KEN,1961,-11.15136044,True
388,KGZ,1961,,True
389,KHM,1961,,True
390,KIR,1961,,True
391,KNA,1961,,True
392,KOR,1961,3.809554762,True
393,KWT,1961,,True
